QID,PageTitle,description,occupation_labels,cluster,topClusterWords,umap_x,umap_y
Q8198061,Ana María Ragonese,Argentinian botanist (1928-1999),"['botanist', 'paleobotanist', 'university teacher', 'botanical collector', 'scientific collector']",62,"['botanist', 'american', 'canadian', 'argentinian', 'russian']",13.234575,4.6803293
Q27062101,Alena Varmužová,Czech mathematician (1939-1997),"['mathematician', 'teacher']",2,"['mathematician', 'american', 'russian', 'polish', 'born']",10.19424,6.542796
Q5646502,Hélène Durand,Belgian botanist and botanical artist (1883-1934),"['botanist', 'botanical illustrator', 'scientific illustrator']",19,"['botanist', 'british', 'english', 'irish', 'german']",10.80809,11.299046
Q136339077,Anita Borges,Indian pathologist (1946/1947–2025),['pathologist'],72,"['indian', 'scientist', 'researcher', 'biologist', 'american']",5.848991,4.098233
Q23682471,Anna Sofaer,American archaeologist,['archaeologist'],24,"['archaeologist', 'american', 'anthropologist', 'chinese', 'classical']",-3.0423698,12.622803
Q64021380,Mary E. Clark,American biologist and professor (1927–2019),"['biologist', 'university teacher']",18,"['biologist', 'american', 'molecular', 'evolutionary', 'developmental']",6.456505,9.209367
Q261553,Sarah Wollaston,British Liberal Democrat politician,"['politician', 'physician']",90,"['british', 'scientist', 'biologist', 'academic', 'anthropologist']",13.166616,6.739094
Q56477190,Petra Lewis,Professor of Radiology and Obstetrics,['teacher'],28,"['obstetrician', 'gynecologist', 'american', 'gynaecologist', 'british']",4.749011,5.0577016
Q60966668,Jane Thomas-Oates,British chemist and academic,"['chemist', 'professor']",46,"['chemist', 'german', 'british', 'american', 'professor']",5.1245146,11.953956
Q57515696,Allison Druin,American computer scientist,['computer scientist'],14,"['computer', 'scientist', 'american', 'british', 'researcher']",20.007257,7.8807817
Q4793362,Sara Josephine Baker,American physician (1873-1945),['physician'],58,"['physician', 'american', 'doctor', 'medical', 'british']",6.748759,5.3342233
Q89798463,Alison R. Fout,American inorganic chemist,['chemist'],11,"['chemist', 'american', 'british', 'canadian', 'researcher']",21.004814,13.886734
Q28976192,Azadeh Kian,Iranian-French academic,"['sociologist', 'university teacher']",89,"['french', 'physicist', 'biologist', 'scientist', 'historian']",11.970579,6.058086
